Scenario	Row	Bay	RouteNumber	ContainerType	ContainerSize	ContainerContentType
ecc1e692-5ccc-4f04-85f7-008e125f0b29	2	1	2	Dry	FortyFoot	Corrosive
ecc1e692-5ccc-4f04-85f7-008e125f0b29	3	1	3	Dry	TwentyFoot	Radioactive
ecc1e692-5ccc-4f04-85f7-008e125f0b29	2	2	2	Dry	FortyFoot	Corrosive
ecc1e692-5ccc-4f04-85f7-008e125f0b29	3	2	3	Tank	TwentyFoot	Flammable
5055a613-1280-49fd-9ead-00b10bf1bc83	2	1	3	Dry	FortyFoot	Flammable
5055a613-1280-49fd-9ead-00b10bf1bc83	3	1	3	Dry	TwentyFoot	Radioactive
5055a613-1280-49fd-9ead-00b10bf1bc83	2	2	3	Dry	FortyFoot	Flammable
5055a613-1280-49fd-9ead-00b10bf1bc83	3	2	2	Tank	TwentyFoot	General
c2f8dbb3-fb16-4c84-aceb-0163236b654c	1	1	2	Refridgerated	FortyFoot	Empty
c2f8dbb3-fb16-4c84-aceb-0163236b654c	2	1	2	Dry	FortyFoot	Flammable
c2f8dbb3-fb16-4c84-aceb-0163236b654c	3	1	2	Dry	FortyFoot	Radioactive
c2f8dbb3-fb16-4c84-aceb-0163236b654c	1	2	2	Refridgerated	FortyFoot	Empty
c2f8dbb3-fb16-4c84-aceb-0163236b654c	2	2	2	Dry	FortyFoot	Flammable
c2f8dbb3-fb16-4c84-aceb-0163236b654c	3	2	2	Dry	FortyFoot	Radioactive
07d3153e-52e5-4e87-85b9-01fc65332b64	2	1	3	Tank	FortyFoot	Flammable
07d3153e-52e5-4e87-85b9-01fc65332b64	3	1	2	Tank	TwentyFoot	Flammable
07d3153e-52e5-4e87-85b9-01fc65332b64	2	2	3	Tank	FortyFoot	Flammable
07d3153e-52e5-4e87-85b9-01fc65332b64	3	2	3	Refridgerated	TwentyFoot	Corrosive
92e1d7ea-1de5-4b3d-9a70-027e76b1be61	2	1	2	Tank	TwentyFoot	Flammable
92e1d7ea-1de5-4b3d-9a70-027e76b1be61	3	1	2	Tank	FortyFoot	Flammable
92e1d7ea-1de5-4b3d-9a70-027e76b1be61	2	2	2	Refridgerated	TwentyFoot	Corrosive
92e1d7ea-1de5-4b3d-9a70-027e76b1be61	3	2	2	Tank	FortyFoot	Flammable
49847541-5cb3-441c-a436-030e4e14a5fc	3	1	2	Refridgerated	FortyFoot	Empty
49847541-5cb3-441c-a436-030e4e14a5fc	3	2	2	Refridgerated	FortyFoot	Empty
49847541-5cb3-441c-a436-030e4e14a5fc	2	3	2	Dry	TwentyFoot	Corrosive
49847541-5cb3-441c-a436-030e4e14a5fc	3	3	3	Dry	TwentyFoot	General
e4c79ce4-0fe7-48bd-aecd-03e1a12bac91	2	1	3	Tank	FortyFoot	Empty
e4c79ce4-0fe7-48bd-aecd-03e1a12bac91	3	1	2	Tank	TwentyFoot	General
e4c79ce4-0fe7-48bd-aecd-03e1a12bac91	2	2	3	Tank	FortyFoot	Empty
e4c79ce4-0fe7-48bd-aecd-03e1a12bac91	3	2	2	Tank	TwentyFoot	Flammable
30f86781-fe78-499b-bd0b-0476983c8530	2	1	2	Refridgerated	TwentyFoot	Corrosive
30f86781-fe78-499b-bd0b-0476983c8530	3	1	3	Tank	FortyFoot	Flammable
30f86781-fe78-499b-bd0b-0476983c8530	2	2	2	Tank	TwentyFoot	General
30f86781-fe78-499b-bd0b-0476983c8530	3	2	3	Tank	FortyFoot	Flammable
5df24389-ee49-427b-91b7-0486f8729310	2	1	2	Tank	FortyFoot	General
5df24389-ee49-427b-91b7-0486f8729310	3	1	3	Dry	TwentyFoot	General
5df24389-ee49-427b-91b7-0486f8729310	2	2	2	Tank	FortyFoot	General
5df24389-ee49-427b-91b7-0486f8729310	3	2	2	Dry	TwentyFoot	Flammable
d5d9b023-a251-4b5f-b70f-05347ff22d9b	2	1	1	Dry	FortyFoot	Flammable
d5d9b023-a251-4b5f-b70f-05347ff22d9b	3	1	2	Dry	TwentyFoot	Radioactive
d5d9b023-a251-4b5f-b70f-05347ff22d9b	2	2	1	Dry	FortyFoot	Flammable
d5d9b023-a251-4b5f-b70f-05347ff22d9b	3	2	1	Tank	TwentyFoot	General
649ce501-cdd8-4fe9-9df9-054d4fa14a10	2	1	3	Refridgerated	FortyFoot	General
649ce501-cdd8-4fe9-9df9-054d4fa14a10	3	1	2	Tank	TwentyFoot	Flammable
649ce501-cdd8-4fe9-9df9-054d4fa14a10	2	2	3	Refridgerated	FortyFoot	General
649ce501-cdd8-4fe9-9df9-054d4fa14a10	3	2	2	Tank	TwentyFoot	General
2afb8138-83fc-42ea-89b1-05ac6004c6f6	2	1	2	Tank	FortyFoot	Flammable
2afb8138-83fc-42ea-89b1-05ac6004c6f6	3	1	2	Tank	TwentyFoot	Flammable
2afb8138-83fc-42ea-89b1-05ac6004c6f6	2	2	2	Tank	FortyFoot	Flammable
2afb8138-83fc-42ea-89b1-05ac6004c6f6	3	2	2	Tank	TwentyFoot	Flammable
dac99cec-18e7-4d24-969e-05e5ad402e93	1	1	2	Refridgerated	FortyFoot	General
dac99cec-18e7-4d24-969e-05e5ad402e93	2	1	3	Refridgerated	FortyFoot	Poison
dac99cec-18e7-4d24-969e-05e5ad402e93	3	1	3	Tank	FortyFoot	Flammable
dac99cec-18e7-4d24-969e-05e5ad402e93	1	2	2	Refridgerated	FortyFoot	General
dac99cec-18e7-4d24-969e-05e5ad402e93	2	2	3	Refridgerated	FortyFoot	Poison
dac99cec-18e7-4d24-969e-05e5ad402e93	3	2	3	Tank	FortyFoot	Flammable
7d477353-86a8-4f5d-a4af-0601b74ba7c7	2	1	2	Refridgerated	FortyFoot	Corrosive
7d477353-86a8-4f5d-a4af-0601b74ba7c7	3	1	3	Dry	FortyFoot	Corrosive
7d477353-86a8-4f5d-a4af-0601b74ba7c7	2	2	2	Refridgerated	FortyFoot	Corrosive
7d477353-86a8-4f5d-a4af-0601b74ba7c7	3	2	3	Dry	FortyFoot	Corrosive
7d477353-86a8-4f5d-a4af-0601b74ba7c7	3	3	3	Refridgerated	TwentyFoot	Poison
6e564ec6-5840-44ca-9a4d-065d6bfcc52e	2	1	2	Refridgerated	FortyFoot	Radioactive
6e564ec6-5840-44ca-9a4d-065d6bfcc52e	3	1	3	Dry	TwentyFoot	Corrosive
6e564ec6-5840-44ca-9a4d-065d6bfcc52e	2	2	2	Refridgerated	FortyFoot	Radioactive
6e564ec6-5840-44ca-9a4d-065d6bfcc52e	3	2	3	Refridgerated	TwentyFoot	Radioactive
a01071eb-3eb2-4316-843a-069386d305a7	3	1	2	Dry	FortyFoot	Flammable
a01071eb-3eb2-4316-843a-069386d305a7	3	2	2	Dry	FortyFoot	Flammable
a01071eb-3eb2-4316-843a-069386d305a7	2	3	2	Dry	TwentyFoot	Corrosive
a01071eb-3eb2-4316-843a-069386d305a7	3	3	3	Dry	TwentyFoot	Radioactive
2b232b3d-eb9a-46b2-9d60-06953b4c0ee0	3	1	2	Refridgerated	FortyFoot	Empty
2b232b3d-eb9a-46b2-9d60-06953b4c0ee0	3	2	2	Refridgerated	FortyFoot	Empty
2b232b3d-eb9a-46b2-9d60-06953b4c0ee0	2	3	2	Dry	TwentyFoot	Corrosive
2b232b3d-eb9a-46b2-9d60-06953b4c0ee0	3	3	3	Dry	TwentyFoot	General
cb6283bf-509e-4894-b5cf-07028ff3198f	3	1	2	Dry	FortyFoot	Corrosive
cb6283bf-509e-4894-b5cf-07028ff3198f	3	2	2	Dry	FortyFoot	Corrosive
cb6283bf-509e-4894-b5cf-07028ff3198f	2	3	2	Refridgerated	TwentyFoot	General
cb6283bf-509e-4894-b5cf-07028ff3198f	3	3	3	Dry	TwentyFoot	Radioactive
ea37c73a-e288-48c2-878a-072af2266364	2	1	3	Dry	FortyFoot	Radioactive
ea37c73a-e288-48c2-878a-072af2266364	3	1	3	Dry	TwentyFoot	Poison
ea37c73a-e288-48c2-878a-072af2266364	2	2	3	Dry	FortyFoot	Radioactive
ea37c73a-e288-48c2-878a-072af2266364	3	2	3	Dry	TwentyFoot	Poison
4be23bfc-9042-4e77-8030-076f3951e70a	2	1	1	Dry	FortyFoot	Flammable
4be23bfc-9042-4e77-8030-076f3951e70a	3	1	1	Dry	TwentyFoot	Radioactive
4be23bfc-9042-4e77-8030-076f3951e70a	2	2	1	Dry	FortyFoot	Flammable
4be23bfc-9042-4e77-8030-076f3951e70a	3	2	1	Tank	TwentyFoot	General
f4fbc45f-60e7-4d4c-b4e6-079c2759c80c	2	1	3	Dry	FortyFoot	Radioactive
f4fbc45f-60e7-4d4c-b4e6-079c2759c80c	3	1	3	Dry	TwentyFoot	Poison
f4fbc45f-60e7-4d4c-b4e6-079c2759c80c	2	2	3	Dry	FortyFoot	Radioactive
f4fbc45f-60e7-4d4c-b4e6-079c2759c80c	3	2	3	Dry	TwentyFoot	Poison
ff6eb82a-fc52-4194-8834-07ac02896ba8	2	1	2	Tank	FortyFoot	Flammable
ff6eb82a-fc52-4194-8834-07ac02896ba8	3	1	2	Tank	TwentyFoot	Flammable
ff6eb82a-fc52-4194-8834-07ac02896ba8	2	2	2	Tank	FortyFoot	Flammable
ff6eb82a-fc52-4194-8834-07ac02896ba8	3	2	2	Tank	TwentyFoot	Flammable
a106b75b-18b1-45fc-91ad-07d90dea59da	2	1	2	Refridgerated	FortyFoot	Poison
a106b75b-18b1-45fc-91ad-07d90dea59da	3	1	3	Tank	FortyFoot	Flammable
a106b75b-18b1-45fc-91ad-07d90dea59da	2	2	2	Refridgerated	FortyFoot	Poison
a106b75b-18b1-45fc-91ad-07d90dea59da	3	2	3	Tank	FortyFoot	Flammable
a106b75b-18b1-45fc-91ad-07d90dea59da	3	3	3	Refridgerated	TwentyFoot	Corrosive
c2821a5c-3d5d-4676-b21b-08282478ce5b	2	1	3	Dry	FortyFoot	Flammable
c2821a5c-3d5d-4676-b21b-08282478ce5b	3	1	3	Dry	TwentyFoot	Radioactive
c2821a5c-3d5d-4676-b21b-08282478ce5b	2	2	3	Dry	FortyFoot	Flammable
c2821a5c-3d5d-4676-b21b-08282478ce5b	3	2	2	Tank	TwentyFoot	General
0948d203-10dc-4e3b-a8e6-085450ebfe56	2	1	2	Dry	FortyFoot	Radioactive
0948d203-10dc-4e3b-a8e6-085450ebfe56	3	1	3	Refridgerated	FortyFoot	General
0948d203-10dc-4e3b-a8e6-085450ebfe56	2	2	2	Dry	FortyFoot	Radioactive
0948d203-10dc-4e3b-a8e6-085450ebfe56	3	2	3	Refridgerated	FortyFoot	General
0948d203-10dc-4e3b-a8e6-085450ebfe56	3	3	3	Dry	TwentyFoot	Corrosive
0e697754-326e-41ff-aa42-085654351649	2	1	2	Refridgerated	FortyFoot	Empty
0e697754-326e-41ff-aa42-085654351649	3	1	3	Dry	FortyFoot	Corrosive
0e697754-326e-41ff-aa42-085654351649	2	2	2	Refridgerated	FortyFoot	Empty
0e697754-326e-41ff-aa42-085654351649	3	2	3	Dry	FortyFoot	Corrosive
0e697754-326e-41ff-aa42-085654351649	3	3	3	Dry	TwentyFoot	Corrosive
88e91582-7778-4de2-b4a3-086721289587	2	1	1	Dry	FortyFoot	Corrosive
88e91582-7778-4de2-b4a3-086721289587	3	1	2	Dry	TwentyFoot	Poison
88e91582-7778-4de2-b4a3-086721289587	2	2	1	Dry	FortyFoot	Corrosive
88e91582-7778-4de2-b4a3-086721289587	3	2	2	Dry	TwentyFoot	General
f179c146-a116-4a01-9934-088f2502f178	2	1	2	Refridgerated	FortyFoot	Corrosive
f179c146-a116-4a01-9934-088f2502f178	3	1	3	Dry	FortyFoot	Corrosive
f179c146-a116-4a01-9934-088f2502f178	2	2	2	Refridgerated	FortyFoot	Corrosive
f179c146-a116-4a01-9934-088f2502f178	3	2	3	Dry	FortyFoot	Corrosive
f179c146-a116-4a01-9934-088f2502f178	3	3	3	Refridgerated	TwentyFoot	Poison
e737753a-e2d7-4267-9077-0940403fad1c	2	1	2	Dry	FortyFoot	Corrosive
e737753a-e2d7-4267-9077-0940403fad1c	3	1	3	Dry	TwentyFoot	Radioactive
e737753a-e2d7-4267-9077-0940403fad1c	2	2	2	Dry	FortyFoot	Corrosive
e737753a-e2d7-4267-9077-0940403fad1c	3	2	3	Tank	TwentyFoot	Flammable
14398fcc-a7ac-4d35-adc0-09616cb58a0b	2	1	1	Dry	FortyFoot	Corrosive
14398fcc-a7ac-4d35-adc0-09616cb58a0b	3	1	2	Dry	TwentyFoot	Poison
14398fcc-a7ac-4d35-adc0-09616cb58a0b	2	2	1	Dry	FortyFoot	Corrosive
14398fcc-a7ac-4d35-adc0-09616cb58a0b	3	2	2	Dry	TwentyFoot	General
6b6c77d3-6809-4335-9a87-096abcaf4759	1	1	1	Refridgerated	FortyFoot	Poison
6b6c77d3-6809-4335-9a87-096abcaf4759	2	1	3	Tank	FortyFoot	Empty
6b6c77d3-6809-4335-9a87-096abcaf4759	3	1	3	Tank	FortyFoot	General
6b6c77d3-6809-4335-9a87-096abcaf4759	1	2	1	Refridgerated	FortyFoot	Poison
6b6c77d3-6809-4335-9a87-096abcaf4759	2	2	3	Tank	FortyFoot	Empty
6b6c77d3-6809-4335-9a87-096abcaf4759	3	2	3	Tank	FortyFoot	General
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	1	1	2	Refridgerated	FortyFoot	General
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	2	1	3	Refridgerated	FortyFoot	Poison
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	3	1	3	Tank	FortyFoot	Flammable
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	1	2	2	Refridgerated	FortyFoot	General
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	2	2	3	Refridgerated	FortyFoot	Poison
4fe8c6cc-a3e6-48a7-9b5e-0a7a7cfcb490	3	2	3	Tank	FortyFoot	Flammable
255cb03c-6969-4f34-a217-0aa35171a5ec	2	1	2	Tank	TwentyFoot	Flammable
255cb03c-6969-4f34-a217-0aa35171a5ec	3	1	2	Tank	FortyFoot	Flammable
255cb03c-6969-4f34-a217-0aa35171a5ec	2	2	2	Tank	TwentyFoot	Flammable
255cb03c-6969-4f34-a217-0aa35171a5ec	3	2	2	Tank	FortyFoot	Flammable
b75cc859-3273-4b75-82de-0b20334e1945	2	1	2	Tank	FortyFoot	Flammable
b75cc859-3273-4b75-82de-0b20334e1945	3	1	3	Refridgerated	FortyFoot	Corrosive
b75cc859-3273-4b75-82de-0b20334e1945	2	2	2	Tank	FortyFoot	Flammable
b75cc859-3273-4b75-82de-0b20334e1945	3	2	3	Refridgerated	FortyFoot	Corrosive
b75cc859-3273-4b75-82de-0b20334e1945	3	3	3	Refridgerated	TwentyFoot	Radioactive
29a36ea9-fa34-4ae3-b137-0c1e63cb3fdb	2	1	2	Dry	FortyFoot	Corrosive
29a36ea9-fa34-4ae3-b137-0c1e63cb3fdb	3	1	3	Dry	TwentyFoot	Radioactive
29a36ea9-fa34-4ae3-b137-0c1e63cb3fdb	2	2	2	Dry	FortyFoot	Corrosive
29a36ea9-fa34-4ae3-b137-0c1e63cb3fdb	3	2	3	Tank	TwentyFoot	Flammable
16ae365a-15f8-4f77-b2be-0c36f86c03c5	1	1	2	Refridgerated	FortyFoot	General
16ae365a-15f8-4f77-b2be-0c36f86c03c5	2	1	3	Refridgerated	FortyFoot	Poison
16ae365a-15f8-4f77-b2be-0c36f86c03c5	3	1	3	Tank	FortyFoot	Flammable
16ae365a-15f8-4f77-b2be-0c36f86c03c5	1	2	2	Refridgerated	FortyFoot	General
16ae365a-15f8-4f77-b2be-0c36f86c03c5	2	2	3	Refridgerated	FortyFoot	Poison
16ae365a-15f8-4f77-b2be-0c36f86c03c5	3	2	3	Tank	FortyFoot	Flammable
2adad959-6b05-4f2c-ad29-0d53b2bd5e94	2	1	2	Refridgerated	FortyFoot	Corrosive
2adad959-6b05-4f2c-ad29-0d53b2bd5e94	3	1	3	Dry	FortyFoot	Corrosive
2adad959-6b05-4f2c-ad29-0d53b2bd5e94	2	2	2	Refridgerated	FortyFoot	Corrosive
2adad959-6b05-4f2c-ad29-0d53b2bd5e94	3	2	3	Dry	FortyFoot	Corrosive
2adad959-6b05-4f2c-ad29-0d53b2bd5e94	3	3	3	Refridgerated	TwentyFoot	Poison
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	1	1	2	Refridgerated	FortyFoot	General
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	2	1	3	Refridgerated	FortyFoot	Poison
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	3	1	3	Tank	FortyFoot	Flammable
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	1	2	2	Refridgerated	FortyFoot	General
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	2	2	3	Refridgerated	FortyFoot	Poison
997c0455-9c59-4ccc-8bcd-0d66146ebdd0	3	2	3	Tank	FortyFoot	Flammable
f8ab92c1-c7e1-4f83-90c1-0df8452f8e75	3	1	3	Dry	FortyFoot	Corrosive
f8ab92c1-c7e1-4f83-90c1-0df8452f8e75	3	2	3	Dry	FortyFoot	Corrosive
f8ab92c1-c7e1-4f83-90c1-0df8452f8e75	2	3	2	Tank	TwentyFoot	Empty
f8ab92c1-c7e1-4f83-90c1-0df8452f8e75	3	3	3	Refridgerated	TwentyFoot	Corrosive
72a764c4-8531-4942-a71e-0e3658014b7b	3	1	3	Tank	FortyFoot	Flammable
72a764c4-8531-4942-a71e-0e3658014b7b	3	2	3	Tank	FortyFoot	Flammable
72a764c4-8531-4942-a71e-0e3658014b7b	2	3	2	Refridgerated	TwentyFoot	Corrosive
72a764c4-8531-4942-a71e-0e3658014b7b	3	3	2	Tank	TwentyFoot	Flammable
181022f7-b22e-4f1e-a927-0e738de22761	2	1	2	Refridgerated	FortyFoot	Poison
181022f7-b22e-4f1e-a927-0e738de22761	3	1	2	Tank	FortyFoot	Flammable
181022f7-b22e-4f1e-a927-0e738de22761	2	2	2	Refridgerated	FortyFoot	Poison
181022f7-b22e-4f1e-a927-0e738de22761	3	2	2	Tank	FortyFoot	Flammable
181022f7-b22e-4f1e-a927-0e738de22761	3	3	3	Refridgerated	TwentyFoot	Corrosive
ebdf61d9-7e53-451d-9685-0eb125e6ab93	2	1	2	Refridgerated	FortyFoot	Corrosive
ebdf61d9-7e53-451d-9685-0eb125e6ab93	3	1	3	Dry	FortyFoot	Corrosive
ebdf61d9-7e53-451d-9685-0eb125e6ab93	2	2	2	Refridgerated	FortyFoot	Corrosive
ebdf61d9-7e53-451d-9685-0eb125e6ab93	3	2	3	Dry	FortyFoot	Corrosive
ebdf61d9-7e53-451d-9685-0eb125e6ab93	3	3	3	Refridgerated	TwentyFoot	Poison
aa9721a4-32c6-4fa8-81bf-0f1ed792a3ba	2	1	2	Refridgerated	FortyFoot	Radioactive
aa9721a4-32c6-4fa8-81bf-0f1ed792a3ba	3	1	3	Dry	TwentyFoot	Corrosive
aa9721a4-32c6-4fa8-81bf-0f1ed792a3ba	2	2	2	Refridgerated	FortyFoot	Radioactive
aa9721a4-32c6-4fa8-81bf-0f1ed792a3ba	3	2	3	Refridgerated	TwentyFoot	Radioactive
32163591-34ed-41b4-948d-0fca2fb97757	2	1	3	Tank	FortyFoot	Empty
32163591-34ed-41b4-948d-0fca2fb97757	3	1	2	Tank	TwentyFoot	Flammable
32163591-34ed-41b4-948d-0fca2fb97757	2	2	3	Tank	FortyFoot	Empty
32163591-34ed-41b4-948d-0fca2fb97757	3	2	3	Tank	TwentyFoot	General
82dc9210-2883-4000-84a6-1055cad5e8f5	3	1	2	Dry	FortyFoot	Corrosive
